# Obtained from SDSS skyserver with this query:
#
# SELECT e.objid, e.sdss_objid, f.ra, f.dec, f.peak, f.integr, f.rms, f.major, f.minor, f.pa, f.skyrms
# FROM MyDB.EELR as e LEFT JOIN DR16.FIRST as f ON e.sdss_objid=f.objid 
# WHERE f.peak > 0
# ORDER BY e.objid
# 
# where the table EELR contained all the sources that in parent_sample matched with HSC
#
objid,sdss_objid,ra,dec,peak,integr,rms,major,minor,pa,skyrms
387,1237655349432287422,247.322895186866,42.9110118002528,1.65,1.791429,0.1399345,3.36,0,129.2,0.1369798
389,1237655130376241364,249.025476931842,44.2329300273116,1.39,5.169824,0.1484484,10.4,7.49,83.6,0.1471236
393,1237663479795613937,333.229066717946,0.508297235225354,0.91,1.061667,0.1064117,5.86,0,11.3,0.1067238
397,1237663544221827420,334.842779164084,0.750224990226439,0.93,0.9163235,0.1018944,0.85,0,10.5,0.1035085
402,1237663543686136097,337.500766062615,0.246416656709237,1.5,1.164,0.1051923,0,0,55.6,0.1049134
404,1237663480334778567,338.516121494061,0.905063884606747,5.52,5.499052,0.1308283,1.16,0,23.3,0.1319876
405,1237663543149723876,338.550571260688,-0.00836388930508794,0.81,0.6798214,0.1086069,0.37,0,90,0.1086467
406,1237663543686987994,339.404636897526,0.344169443656387,113.41,114.8832,0.1005699,0.78,0.47,79.8,0.09999668
407,1237663543687839945,341.334028734271,0.327280546953488,0.87,0.8980645,0.1020368,3.4,0,151.4,0.09979281
409,1237663479799677063,342.469675749833,0.551783342123533,1.39,1.316842,0.1004701,1.11,0,90.8,0.09907296
410,1237678617410338985,342.915804923398,1.16746385098448,1.01,2.338947,0.1468105,13.57,0,27.4,0.1451759
416,1237663784191066461,345.629816448596,0.0299416683512715,3.18,3.277679,0.1006165,2.3,0,50.7,0.1041865
418,1237678617411649632,345.840474850525,1.18251662741983,1.69,1.971667,0.1392595,3.84,0,35.7,0.1366277
420,1237663783655243896,347.932274925354,-0.2581805636571,1.33,0.9728703,0.1063863,1.04,0,124.4,0.1071263
424,1237663278460436615,350.395387135354,0.920149958214307,3.08,3.297668,0.1126023,2.41,0,24.1,0.1108982
430,1237666407365804116,353.412045623336,-0.473511135143332,0.91,0.8824242,0.1169709,2.27,0,89.7,0.1118105
436,1237663784195326227,355.322549852592,0.0369972237484149,1.03,0.937564,0.1078618,1.69,0,89.2,0.1057295
439,1237657191977386140,356.457408408191,0.723077763039988,0.8,0.829091,0.1062144,2.59,0,90,0.1032949
