Name,Peaks,Peak_detection_threshold,PD_band_weighting,dimension,extra_center,color_sample_radius,color_avg_p,gal_t,jet_t,p_buffer,fiber_radius,fiber_slope,galaxy_radius,central_radius,extra_radius,jet_radius,general_slope,color_others,color_give,close_color,raise_gal_y,crush_jet_y,galaxy_constraint,monotonicUseNearest,max_iter,e_rel,traceback,update_order
SDSSJ223059+015333/, 5 16 20 57 36 106 38 59 41 30 44 53 47 19 59 32 59 98 59 104 60 59 62 83 90 38,12, 0 0 0 5 0,85,0,1,1,0.0005,0.02,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ223136-011045/, 21 10 24 76 43 43 59 59 95 17,14, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,20,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ223303+000256/, 17 118 48 103 55 81 60 59 62 43 67 71 68 116 80 118 88 116,12, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.8,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ223931+010549/, 3 110 6 49 46 66 59 74 60 58 72 4 106 38 118 12,10, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,2,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ224027+004347/, 16 7 35 64 40 1 42 46 46 15 48 31 58 34 60 61 60 83 75 82 78 50 84 81 86 98 87 24 95 56 96 106 98 91,10, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,3,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ224350+000406/, 4 18 6 9 9 108 36 82 57 23 59 59 64 72 66 118 76 90 81 69,10, 0 0 0 5 0,85,1,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.3,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ224745+010517/, 1 115 2 21 10 32 32 69 49 11 58 78 60 60 62 100 64 19 80 33 117 102,20, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,3,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ224839+002912/, 10 35 31 3 41 106 60 59 62 67 71 75 100 72,16, 0 0 0 5 0,85,0,1,1,0.0005,0.01,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ224937+000734/, 37 11 46 107 60 59 75 0 90 0 96 53 97 27 98 82 114 42 116 95 118 15 118 105 118 112,12, 0 0 0 5 0,85,0,1,1,0.0005,0.01,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.7,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ224950+005157/, 2 2 6 99 18 76 24 59 28 28 28 70 60 59 76 79 77 53 83 31 84 91 98 65 102 46 113 117,14, 0 0 0 5 0,85,0,1,1,0.0005,0.02,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1.5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ225227+005528/, 14 78 15 115 29 38 33 117 59 55 64 70 114 38,10, 0 0 0 5 0,85,0,1,1,0.0005,0.01,15,6,1,15,40,15,25,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
